company_name,company_domain,company_category
GETINGE MEDICAL INDIA PRIVATE LIMITED,getinge.com,CAT A
TRANSLLOY INDIA PRIVATE LIMITED,translloy.com,CAT A
D B POWER LIMITED,diliigentpower.com,CAT A
HMD MOBILE INDIA PRIVATE LIMITED,hmdglobal.com,CAT A
ROOP POLYMERS LIMITED,rooppolymers.com,CAT A
ROQUETTE INDIA PRIVATE LIMITED,roquette.com,CAT A
NANDED CITY DEVELOPMENT AND CONSTRUCTION COMPANY LIMITED,nandedcitypune.com,CAT A
PREMIER MILLS PRIVATE LIMITED,premiermills.com,CAT A
BAWA JEWELLERS PRIVATE LIMITED,bawajewels.in,CAT A
RYAN INDIA TAX SERVICES PRIVATE LIMITED,ryan.com,CAT A
FREUDENBERG-NOK PRIVATE LIMITED,india.fst.com,CAT A
SUPER AUTO FORGE PRIVATE LIMITED,superautoforge.net,CAT A
TEXSPIN BEARINGS LTD,texspin.com,CAT A
NSPIRA MANAGEMENT SERVICES PRIVATE LIMITED,nspira.in,CAT A
FMI LIMITED,futabasangyo.com,CAT A
SHAH PAPER MILLS LIMITED,shahpaper.com,CAT A
PRAVESHA INDUSTRIES PRIVATE LIMITED,pravesha.com,CAT A
SAMVARDHANA MOTHERSON INNOVATIVE SOLUTIONS LIMITED,motherson.com,CAT A
LYNKS LOGISTICS LIMITED,lynk.co.in,CAT A
JSW HYDRO ENERGY LIMITED,jsw.in/energy/jsw-hydro-energ,CAT A
ARCESIUM INDIA PRIVATE LIMITED,arcesium.com,CAT A
HORIZON PACKS PRIVATE LIMITED,horizonpacks.com,CAT A
CONFIDENCE PETROLEUM INDIA LIMITED,confidencegroup.co,CAT A
NINA PERCEPT PRIVATE LIMITED,ninaindia.in,CAT A
IENERGIZER IT SERVICES PRIVATE LIMITED,ienergizer.com,CAT A
EIH ASSOCIATED HOTELS LIMITED,eihassociatedhotels.in,CAT A
ANISH INFRACON INDIA PRIVATE LIMITED,anishinfra.co.in,CAT A
LA OPALA R G LIMITED,laopala.in,CAT A
ROCA BATHROOM PRODUCTS PRIVATE LIMITED,roca.in,CAT A
WILO MATHER AND PLATT PUMPS PRIVATE LIMITED,matherplatt.com,CAT A
ATS ELGI LIMITED,ats-elgi.com,CAT A
ANJ TURNKEY PROJECTS PRIVATE LIMITED,anj.co.in,CAT A
DEEPAK PHENOLICS LIMITED,godeepak.com,CAT A
SHREE DIGVIJAY CEMENT CO LIMITED,digvijaycement.com,CAT A
TAQA NEYVELI POWER COMPANY PRIVATE LIMITED,taqaglobal.com,CAT A
SWAL CORPORATION LIMITED,swal.in,CAT A
EUGIA PHARMA SPECIALITIES LIMITED,eugiapharma.com,CAT A
JMS MINING PRIVATE LIMITED,jmsmining.com,CAT A
GERA DEVELOPMENTS PRIVATE LIMITED,gera.in,CAT A
SESHASAYEE PAPER AND BOARDS LIMITED,spbltd.com,CAT A
BOKARO POWER SUPPLY COMPANY PRIVATE LIMITED,bpscl.in,CAT A
NACL INDUSTRIES LIMITED,naclind.com,CAT A
MSL DRIVELINE SYSTEMS LIMITED,mahindrasona.com,CAT A
HIMADRI SPECIALITY CHEMICAL LIMITED,himadri.com,CAT A
JADCHERLA EXPRESSWAYS PRIVATE LIMITED,gmrgroup.in,CAT A
HERCULES HOISTS LIMITED,indef.com,CAT A
HPL ELECTRIC & POWER LIMITED,hplindia.com,CAT A
ICPA HEALTH PRODUCTS LTD,icpahealth.com,CAT A
ARL INFRATECH LIMITED,arlinfratech.com,CAT A
RASHMI CEMENT LIMITED,rashmigroup.com,CAT A
P B M POLYTEX LIMITED,pbmpolytex.com,CAT A
MAITHAN ALLOYS LTD.,maithanalloys.com,CAT A
P G FOILS LIMITED,pgfoils.in,CAT A
SHYAM CENTURY FERROUS LIMITED,shyamcenturyferrous.com,CAT A
VINYL CHEMICALS (INDIA) LIMITED,vinylchemicals.com,CAT A
GUPTA MACHINE TOOLS PRIVATE LIMITED,precision-stampings.com,CAT A
JEKAY INTERNATIONAL TRACK PVT. LTD.,jekay.com,CAT A
WALWHAN RENEWABLE ENERGY LIMITED,welspunrenewables.com,CAT A
ORIENT BEVERAGES LTD,obl.org.in,CAT A
BERGER BECKER COATINGS PRIVATE LIMITED,beckers-group.com,CAT A
JEWEL CONSUMER CARE PRIVATE LIMITED,jewelbrushes.com,CAT A
BALRAMPUR CHINI MILLS LTD,chini.com,CAT A
LOBO STAFFING SOLUTIONS PRIVATE LIMITED,lobostaffing.com,CAT A
MODERN ROAD MAKERS P LTD,irb.co.in,CAT A
INFORMATION TECHNOLOGY PARK LIMITED,ascendas.com,CAT A
S S P PRIVATE LIMITED,sspindia.com,CAT A
UNI-ABEX ALLOY PRODUCTS LIMITED,uniabex.com,CAT A
MUKAND SUMI SPECIAL STEEL LIMITED,mukandsumi.com,CAT A
DEEPAK FERTILISERS AND PETROCHEMICALS CORPORATION LTD,dfpcl.com,CAT A
VATECH INDIA PRIVATE LIMITED,vatechindia.in,CAT A
VA TECH WABAG LIMITED,wabag.com,CAT A
MANGALAM CEMENT LTD,mangalamcement.com,CAT A
JHAJJAR POWER LIMITED.,clpindia.in,CAT A
AATASH NORCONTROL LTD.,aatash.com,CAT A
BHUBANESWARI COAL MINING LIMITED,esselmining.com,CAT A
KIRI INDUSTRIES LIMITED,kiriindustries.com,CAT A
SHIVA PHARMACHEM LIMITED,shivapharmachem.com,CAT A
DISHMAN CARBOGEN AMCIS LIMITED,dishmanGroup.com,CAT A
PIRAMAL PHARMA LIMITED,piramal.com,CAT A
HUHTAMAKI INDIA LIMITED,huhtamaki.com,CAT A
GARWARE FULFLEX INDIA PRIVATE LIMITED,garwarebeil.com,CAT A
DEV PRIYA PAPERS PRIVATE LIMITED,devpriya.in,CAT A
EMPIRE SPICES AND FOODS LIMITED,rambandhu.com,CAT A
GHODAWAT CONSUMER LIMITED,ghodawatconsumer.com,CAT A
PHOENIX CONVEYOR BELT INDIA PRIVATE LIMITED,phoenix-conveyorbelts.com,CAT A
KOBELCO INDUSTRIAL MACHINERY INDIA PRIVATE LIMITED,kobelco.co.jp,CAT A
MEJA URJA NIGAM PRIVATE LIMITED,munpl.co.in,CAT A
MERCURE METALS AND ALLOYS PRIVATE LIMITED,mercuremetals.in,CAT A
MEHTA GOLD PRIVATE LIMITED,mehtagold.com,CAT A
SHRI JAGDAMBA POLYMERS LIMITED,shrijagdamba.com,CAT A
SHRI KHATU SHYAM ALLOYS PRIVATE LIMITED,khatutmt.com,CAT A
SUCCESSIVE TECHNOLOGIES PRIVATE LIMITED,successive.tech,CAT A
MINOSHA INDIA LIMITED,minosha.in,CAT A
DCM NOUVELLE LIMITED,dcmnvl.com,CAT A
SRM TECHNOLOGIES PRIVATE LIMITED,srmtech.com,CAT A
SURYALATA SPINNING MILLS LIMITED,suryalata.com,CAT A
SYNTHITE INDUSTRIES PRIVATE LIMITED,synthite.com,CAT A
TAGROS CHEMICALS INDIA PRIVATE LIMITED,tagros.com,CAT A
TEGA INDUSTRIES LIMITED,tegaindustries.com,CAT A
TERUMO PENPOL PRIVATE LIMITED,terumopenpol.com,CAT A
TLG INDIA PRIVATE LIMITED,publicisgroupe.com,CAT A
WINGIFY SOFTWARE PRIVATE LIMITED,wingify.com,CAT A
ZIMMER INDIA PRIVATE LIMITED,zimmerindia.com,CAT A
KONKAN RAILWAY CORPORATION LIMITED,konkanrailway.com,CAT A
HEADSTRONG SERVICES INDIA PRIVATE LIMITED,headstrong.com,CAT A
MANJUSHREE TECHNOPACK LIMITED,manjushreeindia.com,CAT A
MARWADI SHARES AND FINANCE LIMITED,marwadionline.com,CAT A
MDINDIA HEALTH INSURANCE TPA PRIVATE LIMITED,mdindiaonline.com,CAT A
MEDIATEK INDIA TECHNOLOGY PRIVATE LIMITED,mediatek.com,CAT A
MM FORGINGS LIMITED,mmforgings.com,CAT A
MORNINGSTAR INDIA PRIVATE LIMITED,morningstar.in,CAT A
MUMBAI INTERNATIONAL AIRPORT LIMITED,csia.in,CAT A
NETAPP INDIA PRIVATE LIMITED,netapp.com,CAT A
NUCLEAR POWER CORPORATION OF INDIA LIMITED,npcil.nic.in,CAT A
OPUS SOFTWARE SOLUTIONS PRIVATE LIMITED,opussoft.com,CAT A
PHOTON INTERACTIVE PRIVATE LIMITED,photon.in,CAT A
RICHEMONT INDIA PRIVATE LIMITED,asa.in,CAT A
SAIPEM INDIA PROJECTS PRIVATE LIMITED,saipem.com,CAT A
SATYENDRA PACKAGING LIMITED,satyendragroup.com,CAT A
SAYAJI INDUSTRIES LIMITED,sayajigroup.in,CAT A
ADP PRIVATE LIMITED,adp.in,CAT A
BARD INDIA HEALTHCARE PRIVATE LIMITED,bdportshala.com,CAT A
BOEHRINGER INGELHEIM INDIA PRIVATE LIMITED,boehringer-ingelheim.com,CAT A
CONTINENTAL DEVICE INDIA PRIVATE LIMITED,cdil.com,CAT A
DELHI MSW SOLUTIONS LIMITED,ramkyenviroengineers.com,CAT A
DWARIKESH SUGAR INDUSTRIES LIMITED,dwarikesh.com,CAT A
EDGEVERVE SYSTEMS LIMITED,edgeverve.com,CAT A
FERRING PHARMACEUTICALS PRIVATE LIMITED,ferring.com,CAT A
GOLD PLUS GLASS INDUSTRY LIMITED,goldplusgroup.com,CAT A
GTPL BROADBAND PRIVATE LIMITED,gtpl.net,CAT A
INDIA JAPAN LIGHTING PRIVATE LIMITED,koito.co.jp,CAT A
ORIENTAL AROMATICS LIMITED,orientalaromatics.com,CAT A
PRINCE PIPES AND FITTINGS LIMITED,princepipes.com,CAT A
GUNNEBO INDIA PRIVATE LIMITED,gunnebo.com,CAT A
IVY MOBILITY SOLUTIONS PRIVATE LIMITED,ivymobility.com,CAT A
FLEETGUARD FILTERS PRIVATE LIMITED,fleetguard-filtrum.com,CAT A
MICROLAND LIMITED,microland.com,CAT A
POWER MECH PROJECTS LIMITED,powermechprojects.com,CAT A
HEALTHCARE GLOBAL ENTERPRISES LIMITED,hcgoncology.com,CAT A
DR. OETKER INDIA PRIVATE LIMITED,oetker.in,CAT A
D.B. CORP LIMITED,dbcorpltd.com,CAT A
REDINGTON LIMITED,redingtongroup.com,CAT A
WIPRO PARI PRIVATE LIMITED,wipropari.com,CAT A
NAVA LIMITED,navalimited.com,CAT A
SWITCH MOBILITY AUTOMOTIVE LIMITED,switchmobility.tech/contact,CAT A
TATA INTERNATIONAL VEHICLE APPLICATIONS PRIVATE LIMITED,tildlt.com,CAT A
HEUBACH COLORANTS INDIA LIMITED,heubach.com,CAT A
NESTLE R&D CENTRE INDIA PRIVATE LIMITED,nestle.com,CAT A
ORO PRECIOUS METALS PRIVATE LIMITED,worldoforo.com,CAT A
JAMMU PIGMENTS LIMITED,jammupigments.com,CAT A
JAYA INDUSTRIES PRIVATE LIMITED,jayaindustriesgroup.com,CAT A
INDORAMA INDIA PRIVATE LIMITED,ircagro.com,CAT A
BHARATKUMAR INDRASEN TRADING PRIVATE LIMITED,bharatkumarindrasen.com,CAT A
BOFA SECURITIES INDIA LIMITED,dspml.com,CAT A
NLC TAMIL NADU POWER LIMITED,nlcindia.com,CAT A
FAURECIA EMISSIONS CONTROL TECHNOLOGIES INDIA PRIVATE LIMITED,faurecia.com,CAT A
FORTUNE GOURMET SPECIALITIES PRIVATE LIMITED,fortunegourmet.com,CAT A
OMORI INDIA PRIVATE LIMITED,omori.co.in,CAT A
MSS INDIA PRIVATE LIMITED,mssindia.co.in,CAT A
OLYMPIC DECOR LLP,royalcrownlaminates.com,CAT A
MANPOWERGROUP SERVICES INDIA PRIVATE LIMITED,manpowergroup.co.in,CAT A
KSL HOLDINGS PRIVATE LIMITED,kalyaniglobal.com,CAT A
KUMARAGIRI SPINNERSS PRIVATE LIMITED,kumaragiri.com,CAT A
METSO OUTOTEC INDIA PRIVATE LIMITED,metso.com,CAT A
KBR INFRATECH LIMITED,kbrinfra.com,CAT A
SHRIRAM POLYTECH LIMITED,shriramaxiall.com,CAT A
ASSET RECONSTRUCTION COMPANY (INDIA) LIMITED,arcil.co.in,CAT A
AVADH SUGAR & ENERGY LIMITED,birla-sugar.com,CAT A
B.BRAUN MEDICAL (INDIA) PRIVATE LIMITED,bbraun.co.in,CAT A
COFCO INTERNATIONAL INDIA PRIVATE LIMITED,noblecoffee.com,CAT A
COFORGE LIMITED,niit-tech.com,CAT A
NTT INDIA PRIVATE LIMITED,dimensiondata.com,CAT A
P. N. GADGIL & SONS LIMITED,pngadgilandsons.com,CAT A
SIKKA PORTS & TERMINALS LIMITED,sptl.co.in,CAT A
FIRST AMERICAN (INDIA) PRIVATE LIMITED,firstam.com,CAT A
KRIBHCO FERTILIZERS LIMITED,kfl.net.in,CAT A
MARELLI MOTHERSON AUTO SUSPENSION PARTS PRIVATE LIMITED,motherson.com,CAT A
MERCER CONSULTING (INDIA) PRIVATE LIMITED,mercer.com,CAT A
WESTERN M P INFRASTRUCTURE & TOLL ROADS PRIVATE LIMITED,ew.esselgroup.com,CAT A
C&S ELECTRIC LIMITED,cselectric.co.in,CAT A
EXPLEO SOLUTIONS LIMITED,expleogroup.com,CAT A
SIS LIMITED,sisindia.com,CAT A
SHREE GANESH METALIKS LIMITED,shreeganeshmetaliks.com,CAT A
SUDHAKAR PVC PRODUCTS PRIVATE LIMITED,sudhakarpipes.com,CAT A
SIM DIAM PRIVATE LIMITED,simdiam.com,CAT A
SHAKTI POLYWEAVE PRIVATE LIMITED,shaktipolyweave.com,CAT A
RAJASTHAN GUM PRIVATE LIMITED,rajasthangum.com,CAT A
RITHWIK PROJECTS PRIVATE LIMITED,rithwikprojects.com,CAT A
SWARNA TOLLWAY PRIVATE LIMITED,swarnatoll.com,CAT A
SUNALCO ALLOYS PRIVATE LIMITED,sunalcoalloys.com,CAT A
SHIV EDIBLES LIMITED,shivgroupindustries.com,CAT A
SUPREME AGROFOODS PRIVATE LIMITED,supremeagro.com,CAT A
SMW ISPAT PRIVATE LIMITED,mahalaxmisteel.com,CAT A
SHYAM STEEL MANUFACTURING LIMITED,shyamsteel.com,CAT A
SIDHARTH PAPERS PRIVATE LIMITED,sidharthpapers.com,CAT A
RMG POLYVINYL INDIA LIMITED,rmgpoly.com,CAT A
SAMYAK METALS PRIVATE LIMITED,samyakmetals.com,CAT A
SWAYAM SHIPPING SERVICES PRIVATE LIMITED,swayamshipping.com,CAT A
VISHWA SAMUDRA ENGINEERING PRIVATE LIMITED,necltd.com,CAT A
VIPPY INDUSTRIES LIMITED,vippysoya.com,CAT A
TAMILNADU FISHERIES DEVELOPMENT CORPORATION LIMITED,tnfdcltd.co.in,CAT A
TANNA AGRO IMPEX PRIVATE LIMITED,tannaagro.com,CAT A
TMEIC INDUSTRIAL SYSTEMS INDIA PRIVATE LIMITED,tmeic.in,CAT A
TML BUSINESS SERVICES LIMITED,tmlbsl.com/contact-us,CAT A
VEDANTU INNOVATIONS PRIVATE LIMITED,vedantu.com,CAT A
SAVAN RETAILERS PRIVATE LIMITED,savanretailers.in,CAT A
R H L PROFILES LIMITED,rhlprofiles.com,CAT A
RCCPL PRIVATE LIMITED,birlacorporation.com,CAT A
RWS MORAVIA INDIA PRIVATE LIMITED,rws.com,CAT A
WALKAROO INTERNATIONAL PRIVATE LIMITED,walkaroo.in,CAT A
WEST BENGALSTATE ELECTRICITY TRANSMISSION COMPANY LIMITED,wbsetcl.in,CAT A
WESTERN INDIA CASHEW COMPANY PRIVATE LIMITED,wenders.com,CAT A
TEVA PHARMACEUTICAL AND CHEMICAL INDUSTRIES INDIA PRIVATE LIMITED,tapi.com,CAT A
THE INDIA THERMIT CORPORATION LIMITED,indiathermit.com,CAT A
TUBACEX TUBES AND PIPES PRIVATE LIMITED,tubacex.com,CAT A
VEER PLASTICS PRIVATE LIMITED,veerplastics.com,CAT A
SAHYADRI STARCH AND INDUSTRIES PRIVATE LIMITED,sahyadristarch.com,CAT A
ROYAL CASTOR PRODUCTS LIMITED,royalcastor.in,CAT A
VINEET POLYFAB PRIVATE LIMITED,vineetpolyfab.com,CAT A
VISA MINMETAL LIMITED,visagroup.com,CAT A
